id,relative_path,filename,category,description,residential_commercial,orientation,resolution,recommended_page,recommended_section,privacy_concerns,crop_edit,usage,quality
9,IMG_0012.JPG,IMG_0012.JPG,refrigerator; sealed-system,Manifold gauges and service hoses,unknown,portrait,756x1008,Refrigerator,Diagnostics,No obvious personal data; small frame,Crop background; no upscale,direct after crop,Good small detail
18,IMG_0060.JPG,IMG_0060.JPG,refrigerator,Stainless side-by-side refrigerator,residential,portrait,756x1008,Refrigerator,What We Repair,Household containers above appliance,Crop upper shelf,direct after crop,Good small card
23,IMG_0080.JPG,IMG_0080.JPG,cooktop; stove,Gas cooktop in a home countertop,residential,portrait,756x1008,Oven & Stove,What We Repair,No obvious personal data,Crop excess cabinetry,direct after crop,Good small card
33,IMG_0178.JPG,IMG_0178.JPG,washer,Top-load washer,residential,portrait,756x1008,Washer,What We Repair,Loose object at lower left,Crop lower edge,direct after crop,Good small card
57,IMG_0300.JPG,IMG_0300.JPG,microwave,Open microwave cavity,residential,portrait,756x1008,Microwave,Diagnostics,Appliance identification strip at lower edge,Crop identification strip,direct after crop,Good detail
95,IMG_0802.JPG,IMG_0802.JPG,dryer,Front-load dryer in laundry room,residential,portrait,756x1008,Dryer,Hero / appliance types,Household items above dryer,Crop top; check glass reflection at full size,reference / review before direct,Good small card
123,IMG_1200.JPG,IMG_1200.JPG,oven,Built-in double wall oven,residential,portrait,756x1008,Oven & Stove,What We Repair,Glass reflections; clutter at right,Crop right; full-size reflection review,reference,Good small card
132,IMG_1261.JPG,IMG_1261.JPG,dryer; diagnostics; technician at work,Hand measuring dryer temperature,residential,portrait,756x1008,Dryer,Diagnostics,Hand only; possible appliance label at lower edge,Crop lower strip,direct after crop,Good diagnostic detail
152,IMG_1391.JPG,IMG_1391.JPG,dishwasher,Stainless dishwasher front,residential,portrait,756x1008,Dishwasher,Hero / types,Household items above counter,Crop countertop,direct after crop,Good small card
187,IMG_2061.JPG,IMG_2061.JPG,dryer; maintenance,Empty dryer drum and lint grille,residential,landscape,1008x756,Dryer,Common Problems / maintenance,Label at lower edge,Crop bottom label,direct after crop,Good detail
193,IMG_2093.JPG,IMG_2093.JPG,washer,Dark front-load washer,residential,portrait,756x1008,Washer,Types,Laundry products above; reflective glass,Crop products; full-size reflection review,reference,Good small card
